l_rate;policy;n_steps;n_epochs;timesteps;TRAINING TIME;MEAN SCORE
0.0001;MlpPolicy;4096;5;1000;55.854;-75.52805059899886
0.0001;MlpPolicy;4096;5;10000;142.115;-69.95638417700927
0.0001;CnnPolicy;4096;5;1000;63.527;117.70060729980469
0.0001;CnnPolicy;4096;5;10000;160.375;83.34616670509179
0.0001;MlpPolicy;1024;10;1000;15.811;-54.579090428849064
0.0001;MlpPolicy;1024;10;10000;155.049;-71.11202279726665
0.0001;CnnPolicy;1024;10;1000;18.816;-59.909234362343945
0.0001;CnnPolicy;1024;10;10000;187.048;-24.01203728715579
0.0001;MlpPolicy;2048;10;1000;34.435;-73.78088720639546
0.0001;MlpPolicy;2048;10;10000;157.796;-62.13782578955094
0.0001;CnnPolicy;2048;10;1000;38.809;77.2993903880318
0.0001;CnnPolicy;2048;10;10000;188.824;-58.96509519716104
